,customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score
40,001df1ee5c36767aa607001ab1a13a06,67,1,29.99,5,5,5,555
52,002905287304e28c0218389269b4759b,70,1,13.47,5,5,5,555
150,006866a6f9ef10d3a85292859c4deae1,60,1,18.95,5,5,5,555
166,007182cdc3e8e2d3d4ce0b00b9004630,96,1,13.99,5,5,5,555
195,0086b541a59fa554e7953e2d3c285285,74,1,35.0,5,5,5,555
224,00993c1bdbff4f24ca6b8124b4cf5a1f,79,1,27.99,5,5,5,555
235,00a16acd591b4bb112f2e94c7d2f9936,117,1,28.99,5,5,5,555
246,00aa3aa0438ac8a9e8a9378171ccd055,56,1,19.9,5,5,5,555
271,00ba72dac5dae2776b5bfcf799a956b2,61,1,25.0,5,5,5,555
314,00d59ed5b36bbeac2deb4e7256a39fb4,95,1,26.9,5,5,5,555
331,00e4dd8d5ecaa00de8c6671679b58045,95,1,34.99,5,5,5,555
334,00e6ef8a68edd7a3d2221bcf18656b7e,102,1,16.0,5,5,5,555
388,010ebb5ce5da9367a59959153f083968,78,1,24.99,5,5,5,555
395,01156d307fdee5870c27d63afb938bd9,95,1,34.9,5,5,5,555
443,0130b37ed963c4a595792582025bdcb0,97,1,39.9,5,5,5,555
484,014b7917072f3fe8c9ca37d4043c31d1,49,1,17.5,5,5,5,555
555,01755c16c986d88fa552ba8d7da81876,71,1,19.99,5,5,5,555
559,0178cbf093400335e3d8fd88851e6bf1,61,1,35.99,5,5,5,555
573,018447394d87c7921d8ee1fb40d91d90,47,1,29.99,5,5,5,555
578,01874b138de5f4447517558ca0d1a3b9,129,1,18.9,5,5,5,555
614,01998a22ca4b0c83aa13f2e8bec67c81,105,1,23.9,5,5,5,555
623,01a29eb8e6d484de55f3d2a9d6b7bcbe,82,1,14.0,5,5,5,555
649,01b365dec7627509427c5503e029464f,71,1,39.9,5,5,5,555
651,01b4d8edfd68874d23092c8fcb6a4edb,113,1,17.9,5,5,5,555
665,01c3c12496a8c26348d92873da95448b,99,1,9.0,5,5,5,555
698,01d581c1d75cd6e7a5315b20589b9944,49,1,12.99,5,5,5,555
728,01ef9a979bab9ba62386d5abfb646cfc,103,1,29.99,5,5,5,555
742,01f7f5d4ffa43c8b8d2ae6c7628b0aba,74,1,35.0,5,5,5,555
744,01f841d4c59e8b7634174ef72a75f81a,82,1,15.99,5,5,5,555
779,020b0645ceac44c1ae2de1ed2bc02b54,125,1,24.99,5,5,5,555
789,020fff139f1af3a6dff28456f386fe2d,63,1,39.49,5,5,5,555
813,0221ef5387bbb856f1b319d942fd15bc,124,1,39.9,5,5,5,555
818,0223b85b1e7ae199e2336d4f8da036b1,104,1,35.0,5,5,5,555
891,02502a29041f75b4982896ed8ca6e736,116,1,22.49,5,5,5,555
892,025247dee36960e70666880b8073e582,120,1,14.89,5,5,5,555
904,025a13782125f9ee98dd321dc97e23ee,67,1,35.0,5,5,5,555
914,02611d7a9e40004ce72c2006dca2d7a9,95,1,27.9,5,5,5,555
922,0264f4e581481a3f01d4f341d38a46ed,78,1,21.99,5,5,5,555
937,027173ae64ea4eb32139b3205e7e02c0,64,1,27.9,5,5,5,555
946,0275161cf1fc69fd8f5412ba423a3004,58,1,26.9,5,5,5,555
950,027711a554ce14c4bebd4af3bb803101,122,1,13.62,5,5,5,555
1014,02a0454551d656a33ab2526c52216dc5,119,1,27.5,5,5,5,555
1039,02b5dc176731821cbf299ba7ac64053c,97,1,34.5,5,5,5,555
1047,02bb19e4d66682ddf2b4ec648db0cd48,78,1,33.9,5,5,5,555
1059,02c1e8e3240934520c94905a9b6c004c,112,1,27.9,5,5,5,555
1088,02d683623fe8a7afb049181a823afefa,126,1,14.99,5,5,5,555
1114,02e5b5ecce34b118017c55151accfbe5,70,1,24.99,5,5,5,555
1134,02f5837ff2d19277d066df76e27a8cca,126,2,28.98,5,5,5,555
1156,03021263578e74c1f2bd92697a37d93b,102,1,29.0,5,5,5,555
1164,0306f447354ba6e1012ce4350cb1d8da,49,1,28.9,5,5,5,555
1194,0315566ca17f35abbf61d58f3ea8b8bd,78,1,39.12,5,5,5,555
1253,033854c6af774f85df06de2c9399589d,118,1,28.8,5,5,5,555
1261,033c981e2b34fee357d40d07c83a1cec,75,1,30.4,5,5,5,555
1265,033fab69968b0d69099d64423831a236,0,1,26.4,5,5,5,555
1267,0340a58f4c5575ef03a6083a95c01166,62,1,29.99,5,5,5,555
1268,034114dc2bf3002b8d1bad87a64e0ade,95,1,25.89,5,5,5,555
1289,034dc20625271d7092e8228d1a80cac4,76,1,19.99,5,5,5,555
1329,0368541bf462ab4f227778b73f427c2d,60,1,24.9,5,5,5,555
1360,0381ec58ea2fa26fb596e5d1af0e270d,111,1,27.9,5,5,5,555
1402,039c5d6f330c73420f1658e63f67f0ff,69,1,22.35,5,5,5,555
1404,039e247f51f48db99559485f01600562,64,1,28.99,5,5,5,555
1475,03d01c3308507d5d861af0d89b65beee,125,1,33.0,5,5,5,555
1503,03e4aa263433c6741b5d22e28272c520,48,1,29.99,5,5,5,555
1512,03ec2e284072ed26c76280702832ed56,120,2,37.0,5,5,5,555
1517,03f21d23b93b0baba743e57d5ad14604,112,1,34.99,5,5,5,555
1570,041d5700e430ed7d2f3ca2d7e781f077,130,1,14.49,5,5,5,555
1576,04211982f170cac46abffab95d63bc7f,71,1,24.9,5,5,5,555
1622,043c9f38c68b4ec1c37c6145a2aa6257,53,1,10.0,5,5,5,555
1626,043dcc3db797a03b132fb63e753c309c,64,1,29.9,5,5,5,555
1639,0447df4fd1c1f9c602bf25ae24c494f0,82,1,35.0,5,5,5,555
1690,046f890135acc703faff4c1fc0c2d73c,111,2,7.7,5,5,5,555
1718,04802886a43fe74bd00496abf197b3a6,78,1,14.99,5,5,5,555
1738,0492fbcccc19cfdea66d667173ebce63,57,1,20.49,5,5,5,555
1771,04a8bd329a1b13af8d394f37c6214ab8,77,1,38.0,5,5,5,555
1864,04e21ae2a1e759be1d67a5b71ec38e84,92,1,28.99,5,5,5,555
1928,050ad1d637ed92ecd404ce115736e73a,48,1,17.0,5,5,5,555
1976,0532c16fb3717ba27a99fd5492710144,118,1,19.2,5,5,5,555
2015,0548b4ebfce3d7ef4124f59d904578cc,70,1,16.9,5,5,5,555
2018,054ab203cd9764221a28a41cce1e8cd0,48,1,27.9,5,5,5,555
2029,055015dc0487744694f4c9baed2afcb0,125,1,21.9,5,5,5,555
2084,0573edc5eccee58dab8992faab015e4b,113,1,13.99,5,5,5,555
2179,05b005e82f3f2dcc41b5504f00484e50,56,1,25.0,5,5,5,555
2288,060b1d253ccfe1196775fffc0c64eaa4,104,1,9.9,5,5,5,555
2300,061435b8938e25375c2bcf58dff7745b,110,2,28.0,5,5,5,555
2333,0627dd353f7abd2a8272643d8a412b57,113,1,27.93,5,5,5,555
2335,0628c0b91afef1a89539ce9f77a735e0,55,1,20.99,5,5,5,555
2367,0639f89df53967e960faa234c3235d1f,63,1,38.95,5,5,5,555
2404,065980c7bb4853a9ff23199ac044171c,95,1,12.0,5,5,5,555
