,customer_city,price,cumulative_sum,cumcut
0,sao paulo,1949872.31,1949872.31,0.1411853172049174
1,rio de janeiro,992850.85,2942723.16,0.2130751335152079
2,belo horizonte,357290.34,3300013.5,0.23894562243309647
3,brasilia,306156.14,3606169.64,0.2611136133925317
4,curitiba,212793.74,3818963.38,0.27652146934650473
5,campinas,192439.83,4011403.21,0.2904555502101949
6,salvador,188844.18,4200247.39,0.3041292791609909
7,porto alegre,187214.05,4387461.4399999995,0.3176849745257132
8,guarulhos,149738.68,4537200.119999999,0.3285271732303276
9,niteroi,130599.52,4667799.639999999,0.3379835538166081
10,sao bernardo do campo,106697.37,4774497.009999999,0.3457092402377771
11,goiania,104754.83,4879251.839999999,0.35329427225574406
12,santos,101772.76,4981024.599999999,0.3606633801351313
13,fortaleza,100500.41,5081525.009999999,0.36794036037240346
14,santo andre,92312.7,5173837.709999999,0.37462448925853675
15,recife,87324.32,5261162.029999999,0.3809474221786436
16,jundiai,87320.58,5348482.609999999,0.38727008429481946
17,florianopolis,86167.39,5434649.999999999,0.3935092468427864
18,osasco,84185.52,5518835.519999999,0.3996049072018285
19,belem,80863.19,5599698.709999999,0.40546000605717436
20,sao jose dos campos,78166.24,5677864.949999999,0.4111198255912626
21,sorocaba,77889.45,5755754.399999999,0.41675960346223845
22,ribeirao preto,66371.44,5822125.84,0.4215653913908578
23,juiz de fora,66190.58,5888316.42,0.4263580837047855
24,nova iguacu,59898.98,5948215.4,0.43069521719202963
25,campo grande,57071.96,6005287.36,0.4348276533186324
26,joao pessoa,54859.42,6060146.78,0.43879988502562955
27,mogi das cruzes,54034.43,6114181.21,0.4427123812954683
28,sao goncalo,53830.21,6168011.42,0.44661009051215916
29,vitoria,52572.69,6220584.11,0.4504167458894879
30,teresina,51881.26,6272465.37,0.45417333657110576
31,barueri,51300.48,6323765.850000001,0.457887874443365
32,sao luis,51092.96,6374858.8100000005,0.46158738631783136
33,uberlandia,50403.88,6425262.69,0.4652370036541371
34,contagem,50334.65,6475597.340000001,0.4688816082214221
35,piracicaba,50278.97,6525876.3100000005,0.47252218114087985
36,vila velha,48530.33,6574406.640000001,0.476036139465212
37,sao jose do rio preto,47748.41,6622155.050000001,0.47949348094203953
38,londrina,46598.17,6668753.220000001,0.4828675364526892
39,maceio,45839.82,6714593.040000001,0.48618668175985874
40,caxias do sul,44873.46,6759466.500000001,0.4894358553860959
41,natal,44843.13,6804309.630000001,0.49268283289382375
42,maua,44056.42,6848366.050000001,0.49587284672227444
43,praia grande,40528.3,6888894.350000001,0.4988073983141559
44,bauru,39479.17,6928373.5200000005,0.5016659850589652
45,indaiatuba,38741.58,6967115.100000001,0.5044711647793335
46,cuiaba,38698.75,7005813.850000001,0.5072732432878405
47,maringa,38550.21,7044364.0600000005,0.5100645663910267
48,aracaju,36484.72,7080848.78,0.5127063325928005
49,taboao da serra,36021.35,7116870.13,0.5153145473460524
50,serra,35889.26,7152759.39,0.5179131977968349
51,divinopolis,35760.87,7188520.26,0.52050255185278
52,santa maria,35726.92,7224247.18,0.5230894476751813
53,joinville,35185.87,7259433.05,0.5256371674369338
54,marilia,34981.090000000004,7294414.14,0.5281700595973562
55,duque de caxias,34638.92,7329053.06,0.5306781760943978
56,campos dos goytacazes,34464.97,7363518.029999999,0.5331736973123529
57,volta redonda,34328.45,7397846.4799999995,0.5356593334627545
58,petropolis,34081.16,7431927.64,0.5381270639703545
59,carapicuiba,33061.63,7464989.27,0.5405209728919401
60,sao caetano do sul,32619.57,7497608.84,0.5428828733681502
61,guaruja,31356.05,7528964.89,0.5451532855601893
62,sao carlos,31243.94,7560208.83,0.5474155801509727
63,macae,30962.44,7591171.2700000005,0.5496574920394688
64,atibaia,30901.03,7622072.300000001,0.551894957385345
65,taubate,30457.88,7652530.180000001,0.5541003353617056
66,cotia,30077.14,7682607.32,0.5562781449186384
67,diadema,29688.05,7712295.37,0.5584277814537844
68,canoas,29369.81,7741665.18,0.5605543750362626
69,nova friburgo,28130.41,7769795.59,0.5625912268027018
70,betim,28103.41,7797899.0,0.5646261235675007
71,feira de santana,28034.14,7825933.14,0.56665600466698
72,uberaba,27456.55,7853389.6899999995,0.568644063936924
73,presidente prudente,26915.31,7880304.999999999,0.5705929333888003
74,montes claros,26546.420000000002,7906851.419999999,0.5725150924497467
75,suzano,26475.84,7933327.259999999,0.5744321409915903
76,cascavel,25674.37,7959001.629999999,0.5762911571199266
77,blumenau,25622.77,7984624.3999999985,0.5781464370229058
78,americana,25472.91,8010097.309999999,0.5799908659427064
79,franca,25307.89,8035405.199999998,0.581823346182111
80,palmas,25024.87,8060430.069999998,0.5836353336598765
81,santana de parnaiba,23459.93,8083889.999999998,0.5853340077944177
82,sumare,23412.09,8107302.089999998,0.5870292179556821
83,pelotas,23269.61,8130571.699999998,0.5887141115008829
84,limeira,23166.24,8153737.939999999,0.5903915202860999
