,customer_city,price,cumulative_sum,cumcut,label
0,sao paulo,1949872.31,1949872.31,0.1411853172049174,"sao paulo
USD:1949872.31"
1,rio de janeiro,992850.85,2942723.16,0.2130751335152079,"rio de janeiro
USD:992850.85"
2,belo horizonte,357290.34,3300013.5,0.23894562243309647,"belo horizonte
USD:357290.34"
3,brasilia,306156.14,3606169.64,0.2611136133925317,"brasilia
USD:306156.14"
4,curitiba,212793.74,3818963.38,0.27652146934650473,"curitiba
USD:212793.74"
5,campinas,192439.83,4011403.21,0.2904555502101949,"campinas
USD:192439.83"
6,salvador,188844.18,4200247.39,0.3041292791609909,"salvador
USD:188844.18"
7,porto alegre,187214.05,4387461.4399999995,0.3176849745257132,"porto alegre
USD:187214.05"
8,guarulhos,149738.68,4537200.119999999,0.3285271732303276,"guarulhos
USD:149738.68"
9,niteroi,130599.52,4667799.639999999,0.3379835538166081,"niteroi
USD:130599.52"
10,s.b. campo,106697.37,4774497.009999999,0.3457092402377771,"s.b. campo
USD:106697.37"
11,goiania,104754.83,4879251.839999999,0.35329427225574406,"goiania
USD:104754.83"
12,santos,101772.76,4981024.599999999,0.3606633801351313,"santos
USD:101772.76"
13,fortaleza,100500.41,5081525.009999999,0.36794036037240346,"fortaleza
USD:100500.41"
14,santo andre,92312.7,5173837.709999999,0.37462448925853675,"santo andre
USD:92312.7"
15,recife,87324.32,5261162.029999999,0.3809474221786436,"recife
USD:87324.32"
16,jundiai,87320.58,5348482.609999999,0.38727008429481946,"jundiai
USD:87320.58"
17,florianopolis,86167.39,5434649.999999999,0.3935092468427864,"florianopolis
USD:86167.39"
18,osasco,84185.52,5518835.519999999,0.3996049072018285,"osasco
USD:84185.52"
