,customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score
6,000419c5494106c306a97b5635748086,182,1,34.3,4,5,5,455
15,000bf8121c3412d3057d32371c5d3395,365,2,30.0,2,5,5,255
19,0010068a73b7c56da5758c3f9e5c7375,529,1,29.99,1,5,5,155
20,001028b78fd413e19704b3867c369d3a,183,1,29.9,4,5,5,455
24,001226b2341ef620415ce7bbafcfac28,372,1,29.9,2,5,5,255
28,001450ebb4a77efb3d68be5f7887cb1e,217,2,37.64,3,5,5,355
30,00155f0530cc7b2bf73cc3f81cb01c52,506,1,28.9,1,5,5,155
33,0017a0b4c1f1bdb9c395fa0ac517109c,207,1,34.9,4,5,5,455
35,0018f7fde63ca77254dbc47f4ea358b2,378,1,37.9,2,5,5,255
39,001c7f05398c45b42eee0d5a77783bca,181,1,13.65,4,5,5,455
40,001df1ee5c36767aa607001ab1a13a06,67,1,29.99,5,5,5,555
42,001f35d9f262c558fd065346fbf5801d,238,1,28.9,3,5,5,355
43,001f6f1a5e902ad14e1f709a7215de11,608,1,23.9,1,5,5,155
47,002450e9ea44cb90b8a07ba0b197e149,418,1,24.9,2,5,5,255
52,002905287304e28c0218389269b4759b,70,1,13.47,5,5,5,555
53,002937abdae13680e17dccd3868b4825,301,1,9.4,3,5,5,355
56,002b24cb2cd0c3e575040dbd278885e3,133,1,24.99,4,5,5,455
59,002d358e2462f87678443706cbf2eb21,232,1,29.5,3,5,5,355
69,0030fbb95fbe7e61f798a80edb01a8e9,333,1,15.0,2,5,5,255
74,00330644cccc5db0276fa836976306fe,344,1,37.5,2,5,5,255
82,0039b3e41ac6615814a0b44a8992bff5,267,1,19.49,3,5,5,355
84,003b595c764773e20e0949b6fba7b1dc,166,1,12.67,4,5,5,455
86,003bdf7fd8312f9d14a4b979f3747334,314,1,35.9,2,5,5,255
88,003cbe6a43560a8b6fd2c07531257c2d,231,1,13.65,3,5,5,355
89,003e45472805afa1ee701d83284fa22b,481,1,16.5,1,5,5,155
91,003ec17a1389fa302f3a0423dddd8650,270,1,9.99,3,5,5,355
94,0040b00970e2139e8c43b647c0da5305,608,1,30.97,1,5,5,155
98,0042d04ee8231b36dcb29aac213f5db4,545,1,18.95,1,5,5,155
111,004ee20df425002ed78553e1f50caa3e,161,1,19.9,4,5,5,455
114,005092c23e81812fbbe11fc6cf7e5316,419,1,29.9,2,5,5,255
120,0054556ea954a76ad6f9c4ba79d34a98,424,1,34.99,1,5,5,155
123,005596395ca3acd0433fe7d6f95a028e,405,2,31.8,2,5,5,255
126,00573ea7a2ac9dff51ac3d177cd6eaea,251,1,29.9,3,5,5,355
131,005b65c9a6485aa1b7ac382dd87b018f,513,1,24.79,1,5,5,155
133,005c611fb96be942e75d22129c370268,595,1,25.0,1,5,5,155
148,0066d0530824a5e8044c71af62dea8d5,314,1,19.99,2,5,5,255
150,006866a6f9ef10d3a85292859c4deae1,60,1,18.95,5,5,5,555
151,0068a2209e2c7631566539fef4331bf8,503,1,18.99,1,5,5,155
153,00694a1bf2da47e37b2bd3193eeae839,319,1,27.99,2,5,5,255
