,customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score
9,000598caf2ef4117407665ac33275130,57,1,1107.0,5,1,1,511
10,0005aefbb696d34b3424dccd0a0e9fd0,116,1,134.9,5,2,2,522
31,0015bc9fd2d5395446143e8b215d7c75,125,1,122.99,5,2,2,522
34,0018c09f333634ca9c80d9ff46e43e9c,101,1,42.99,5,4,4,544
40,001df1ee5c36767aa607001ab1a13a06,67,1,29.99,5,5,5,555
44,00205ad9ba1ef4340cef86583294cf82,127,1,899.9,5,1,1,511
48,002554bdf9eb99618d8189c3a89fdd52,61,1,229.0,5,1,1,511
49,0026955706fd4e2fa997f3f4c18d485a,53,1,99.9,5,3,3,533
52,002905287304e28c0218389269b4759b,70,1,13.47,5,5,5,555
58,002ce108ccf0356ef5c8b1dce3c0ae29,130,1,176.6,5,2,2,522
60,002d597546b2cf44428232c9f237f873,78,1,99.0,5,3,3,533
61,002ebb669a34b9e79c88efc755e95322,60,1,110.0,5,2,2,522
62,002ef7e55600d44ead53f7c1644e5222,112,1,174.99,5,2,2,522
66,002ff70a5285669011090c077ef929af,68,1,62.9,5,4,4,544
71,003177b3eeca50af17750f53802c9a09,84,1,110.32,5,2,2,522
93,0040a8417928d0d5abd5169cd7877181,106,1,199.99,5,1,1,511
100,004440537b68545ca3c341d7279bc4c0,47,2,79.98,5,3,3,533
101,00447b6bd39c4a0f6366b05948f9e2e3,105,1,279.9,5,1,1,511
103,0045ac1c0957bc92e109f71e4941fa49,97,1,139.2,5,2,2,522
116,0050ee32fbb93383fb0d9e3d8ee89a07,75,1,99.0,5,3,3,533
128,0058153a752ee674162564afb1191d25,50,1,79.99,5,3,3,533
136,0061937e85c708a41f5d5b24405d0f50,109,1,184.0,5,1,1,511
137,00620f738107803e6c0f6818a7a3b7e3,99,1,124.9,5,2,2,522
138,00624707c8556199de70cac1593e7088,110,2,116.5,5,2,2,522
140,0063913c2f1878cc471de963dc0571c4,63,1,228.0,5,1,1,511
141,0063bdf3bf91260f76973a4af6f9199e,126,1,78.8,5,3,3,533
144,00650b839d32a071b1025af8ca26dd13,75,1,327.9,5,1,1,511
150,006866a6f9ef10d3a85292859c4deae1,60,1,18.95,5,5,5,555
154,0069f43bfc018147f03b7a0f64fa00bd,82,1,56.1,5,4,4,544
156,006b5498d9494c061f8c2f80a6c2f343,121,1,105.0,5,3,3,533
159,006d7cf1f4f5fb1c805d2d7cacc8049d,109,1,269.9,5,1,1,511
